code,description,system,category
AYU001,"Malaria (Vishama Jwara) with periodic fever and chills - malaria","ayurveda","Infectious Diseases"
AYU002,"Chronic cough (Kasa) with sputum production - bronchitis","ayurveda","Respiratory Disorders"
AYU003,"Skin rash (Kustha) with redness and itching - dermatitis","ayurveda","Dermatological Conditions"
AYU004,"Joint inflammation (Amavata) with morning stiffness - rheumatoid arthritis","ayurveda","Musculoskeletal Disorders"
AYU005,"Headache (Shirashoola) with nausea - migraine","ayurveda","Neurological Disorders"
AYU006,"Abdominal pain with indigestion (Ajeerna) - dyspepsia","ayurveda","Gastrointestinal Disorders"
AYU007,"High blood pressure (Raktachapa) with dizziness - hypertension","ayurveda","Cardiovascular Disorders"
AYU008,"Diabetes (Madhumeha) with excessive thirst - diabetes mellitus","ayurveda","Metabolic Disorders"
AYU009,"Anxiety (Chittodvega) with palpitations - generalized anxiety disorder","ayurveda","Mental Health Disorders"
AYU010,"Insomnia (Anidra) with difficulty falling asleep - sleep disorder","ayurveda","Sleep Disorders"
AYU011,"Allergic rhinitis (Pratishyaya) with sneezing and congestion - hay fever","ayurveda","Respiratory Disorders"
AYU012,"Eczema (Vicharchika) with dry scaly skin - atopic dermatitis","ayurveda","Dermatological Conditions"
AYU013,"Rheumatoid arthritis (Amavata) with symmetrical joint pain - RA","ayurveda","Musculoskeletal Disorders"
AYU014,"Migraine (Ardhavabhedaka) with visual aura - migraine headache","ayurveda","Neurological Disorders"
AYU015,"Gastroesophageal reflux (Amlapitta) with heartburn - GERD","ayurveda","Gastrointestinal Disorders"
AYU016,"Coronary artery disease (Hridroga) with chest pain - angina","ayurveda","Cardiovascular Disorders"
AYU017,"Thyroid dysfunction (Galaganda) with weight changes - hypothyroidism","ayurveda","Endocrine Disorders"
AYU018,"Depression (Vishada) with persistent low mood - major depressive disorder","ayurveda","Mental Health Disorders"
AYU019,"Sleep apnea (Swapna Vikara) with breathing interruptions - obstructive sleep apnea","ayurveda","Sleep Disorders"
AYU020,"Asthma (Tamaka Shwasa) with wheezing and breathlessness - bronchial asthma","ayurveda","Respiratory Disorders"
AYU021,"Chickenpox (Laghu Masurika) with vesicular rash - varicella","ayurveda","Infectious Diseases"
AYU022,"Whooping cough (Kukkura Kasa) with paroxysmal spasms - pertussis","ayurveda","Respiratory Disorders"
AYU023,"Urticaria (Sheetapitta) with hives - allergic reaction","ayurveda","Dermatological Conditions"
AYU024,"Tendonitis (Kandara Shotha) with inflammation - tendon inflammation","ayurveda","Musculoskeletal Disorders"
AYU025,"Trigeminal neuralgia (Manya Stambha) with facial pain - nerve pain","ayurveda","Neurological Disorders"
AYU026,"Gastritis (Urdhvaga Amlapitta) with stomach inflammation - gastric inflammation","ayurveda","Gastrointestinal Disorders"
AYU027,"Varicose veins (Sira Granthi) with swollen vessels - venous insufficiency","ayurveda","Cardiovascular Disorders"
AYU028,"Hypothyroidism (Galaganda) with fatigue - underactive thyroid","ayurveda","Endocrine Disorders"
AYU029,"OCD with repetitive behaviors - obsessive compulsive disorder","ayurveda","Mental Health Disorders"
AYU030,"Night terrors in children (Swapna Bhaya) - sleep terror disorder","ayurveda","Sleep Disorders"
AYU031,"Hepatitis (Yakrit Vikara) with jaundice - liver infection","ayurveda","Infectious Diseases"
AYU032,"Pneumonia with lung infection - respiratory infection","ayurveda","Respiratory Disorders"
AYU033,"Psoriasis (Kitibha) with silvery scales - skin disorder","ayurveda","Dermatological Conditions"
AYU034,"Osteoporosis (Asthi Kshaya) with bone density loss - brittle bone disease","ayurveda","Musculoskeletal Disorders"
AYU035,"Bell's palsy (Ardita) with facial paralysis - facial nerve disorder","ayurveda","Neurological Disorders"
AYU036,"Gallstones (Ashmari) with biliary colic - gallbladder stones","ayurveda","Gastrointestinal Disorders"
AYU037,"Myocardial infarction (Hridgraha) with chest pain - heart attack","ayurveda","Cardiovascular Disorders"
AYU038,"Hyperthyroidism with weight loss - overactive thyroid","ayurveda","Endocrine Disorders"
AYU039,"Bipolar disorder with mood episodes - manic depression","ayurveda","Mental Health Disorders"
AYU040,"Narcolepsy with daytime sleepiness - sleep disorder","ayurveda","Sleep Disorders"
AYU041,"Anemia (Pandu) with fatigue and weakness - iron deficiency","ayurveda","Blood Disorders"
AYU042,"Conjunctivitis (Netra Abhishyanda) with red eyes - pink eye","ayurveda","Eye Disorders"
AYU043,"Otitis media (Karna Shoola) with ear pain - middle ear infection","ayurveda","Ear Disorders"
AYU044,"Sinus infection (Dushta Pratishyaya) with facial pressure - sinusitis","ayurveda","Respiratory Disorders"
AYU045,"Urinary tract infection (Mutrakrichra) with burning - UTI","ayurveda","Urinary Disorders"
AYU046,"Kidney stones (Vrikka Ashmari) with flank pain - renal calculi","ayurveda","Urinary Disorders"
AYU047,"Cirrhosis with liver scarring - liver disease","ayurveda","Liver Disorders"
AYU048,"Pancreatitis (Agni Vikara) with abdominal pain - pancreatic inflammation","ayurveda","Gastrointestinal Disorders"
AYU049,"Appendicitis with right lower pain - appendix inflammation","ayurveda","Gastrointestinal Disorders"
AYU050,"Diarrhea (Atisara) with loose stools - acute gastroenteritis","ayurveda","Gastrointestinal Disorders"
