code,description,system,category
SID001,"Fever (Suram) with body ache and weakness - viral fever","siddha","Infectious Diseases"
SID002,"Bronchitis (Iraippu Suram) with productive cough - respiratory infection","siddha","Respiratory Disorders"
SID003,"Psoriasis (Kalanjaga Padai) with silvery scales - skin disorder","siddha","Dermatological Conditions"
SID004,"Osteoarthritis (Mootu Noi) with joint degeneration - arthritis","siddha","Musculoskeletal Disorders"
SID005,"Epilepsy (Vali Suram) with recurrent seizures - seizure disorder","siddha","Neurological Disorders"
SID006,"Irritable bowel syndrome (Gunmam) with alternating diarrhea/constipation - IBS","siddha","Gastrointestinal Disorders"
SID007,"Heart failure (Idhaya Noi) with fluid retention - cardiac failure","siddha","Cardiovascular Disorders"
SID008,"Obesity (Peruvalippu) with metabolic syndrome - weight disorder","siddha","Metabolic Disorders"
SID009,"Bipolar disorder (Piththa Noi) with mood swings - manic depression","siddha","Mental Health Disorders"
SID010,"Narcolepsy (Thooka Unarchi) with daytime sleepiness - sleep disorder","siddha","Sleep Disorders"
SID011,"Sinusitis (Mookadaippu) with facial pain - sinus infection","siddha","Respiratory Disorders"
SID012,"Acne vulgaris (Mugapparu) with pustules - skin acne","siddha","Dermatological Conditions"
SID013,"Gout (Kudal Surukki) with sudden joint inflammation - uric acid arthritis","siddha","Musculoskeletal Disorders"
SID014,"Parkinson's disease (Nadukku Vatham) with tremors - movement disorder","siddha","Neurological Disorders"
SID015,"Peptic ulcer (Vanthi Noi) with burning pain - stomach ulcer","siddha","Gastrointestinal Disorders"
SID016,"Arrhythmia (Idhaya Thudippu) with irregular heartbeat - cardiac arrhythmia","siddha","Cardiovascular Disorders"
SID017,"Hyperlipidemia (Kozhuppu) with high cholesterol - lipid disorder","siddha","Metabolic Disorders"
SID018,"Schizophrenia (Piththa Unarchi) with hallucinations - psychotic disorder","siddha","Mental Health Disorders"
SID019,"Restless leg syndrome (Kaal Nadukkam) with uncomfortable sensations - RLS","siddha","Sleep Disorders"
SID020,"Pneumonia (Suramaiale) with lung infection - respiratory infection","siddha","Respiratory Disorders"
SID021,"Measles (Siriyadai) with Koplik spots - viral rash","siddha","Infectious Diseases"
SID022,"Laryngitis (Kural Kammal) with voice loss - vocal cord inflammation","siddha","Respiratory Disorders"
SID023,"Impetigo (Sirangu Padai) with bacterial skin infection - skin infection","siddha","Dermatological Conditions"
SID024,"Bursitis (Mootu Veezhchi) with joint swelling - joint inflammation","siddha","Musculoskeletal Disorders"
SID025,"Huntington's disease with chorea - movement disorder","siddha","Neurological Disorders"
SID026,"Diverticulitis (Kudal Veezhchi) with intestinal pouches - colon inflammation","siddha","Gastrointestinal Disorders"
SID027,"Atherosclerosis (Koratta Katti) with plaque buildup - arterial disease","siddha","Cardiovascular Disorders"
SID028,"Cushing's syndrome with hormonal imbalance - endocrine disorder","siddha","Endocrine Disorders"
SID029,"Skin disease (Payiru) with rash and itching - general dermatitis","siddha","Dermatological Conditions"
SID030,"Rheumatism (Vali) with joint and muscle pain - rheumatic condition","siddha","Musculoskeletal Disorders"
SID031,"Liver disorder (Azhal) with jaundice - hepatic condition","siddha","Liver Disorders"
SID032,"Stomach pain (Iya) with indigestion - gastritis","siddha","Gastrointestinal Disorders"
